domain,uniq_human_visitors,uniq_bot_visitors,total_visitor_count,language_code,site_type
fr.wikibooks.org,2113,56119,58232,fr,wikibooks
tl.m.wikipedia.org,36007,20389,56396,tl,wikipedia
et.wikipedia.org,32747,23476,56223,et,wikipedia
sl.wikipedia.org,29911,25842,55753,sl,wikipedia
it.wikibooks.org,352,55033,55385,it,wikibooks
ms.wikipedia.org,26750,28451,55201,ms,wikipedia
pl.wiktionary.org,17300,35166,52466,pl,wiktionary
el.wiktionary.org,27746,24575,52321,el,wiktionary
et.m.wikipedia.org,42903,8805,51708,et,wikipedia
sh.wikipedia.org,21387,27746,49133,sh,wikipedia
foundation.wikimedia.org,14490,34260,48750,foundation,wikimedia
zh-yue.m.wikipedia.org,39551,8963,48514,zh-yue,wikipedia
de.wikibooks.org,4179,44135,48314,de,wikibooks
pl.wikibooks.org,901,45765,46666,pl,wikibooks
meta.wikimedia.org,5680,40439,46119,meta,wikimedia
bs.m.wikipedia.org,37691,8232,45923,bs,wikipedia
ka.wikipedia.org,25577,18700,44277,ka,wikipedia
es.wiktionary.org,10783,33480,44263,es,wiktionary
es.wikibooks.org,953,43267,44220,es,wikibooks
zh-yue.wikipedia.org,25687,15453,41140,zh-yue,wikipedia
pt.wikibooks.org,484,40572,41056,pt,wikibooks
fi.wikibooks.org,168,40732,40900,fi,wikibooks
eu.wikipedia.org,12867,27207,40074,eu,wikipedia
tl.wikipedia.org,17918,21068,38986,tl,wikipedia
lv.wikipedia.org,18114,19870,37984,lv,wikipedia
kn.m.wikipedia.org,25983,11669,37652,kn,wikipedia
ca.wikibooks.org,50,37308,37358,ca,wikibooks
ur.m.wikipedia.org,23962,13073,37035,ur,wikipedia
az.wikipedia.org,17002,19915,36917,az,wikipedia
eu.wikibooks.org,9,36565,36574,eu,wikibooks
gl.wikipedia.org,6173,28243,34416,gl,wikipedia
id.m.wiktionary.org,4783,27535,32318,id,wiktionary
bs.wikipedia.org,13086,18571,31657,bs,wikipedia
lv.m.wikipedia.org,24391,6951,31342,lv,wikipedia
mk.m.wikipedia.org,22191,8385,30576,mk,wikipedia
zh.wikibooks.org,125,29715,29840,zh,wikibooks
ky.m.wikipedia.org,23733,6000,29733,ky,wikipedia
gl.wikibooks.org,23,29602,29625,gl,wikibooks
hy.wikipedia.org,12940,16417,29357,hy,wikipedia
ast.wikipedia.org,9812,18913,28725,ast,wikipedia
sq.wikibooks.org,32,28546,28578,sq,wikibooks
sq.wikipedia.org,8632,17937,26569,sq,wikipedia
en.m.wikibooks.org,7758,18442,26200,en,wikibooks
mk.wikipedia.org,9010,17091,26101,mk,wikipedia
en.wikiquote.org,3959,21852,25811,en,wikiquote
kk.wikipedia.org,16693,8534,25227,kk,wikipedia
af.wikipedia.org,3171,22020,25191,af,wikipedia
uz.wikipedia.org,7512,17650,25162,uz,wikipedia
www.mediawiki.org,5904,18384,24288,www,wiki
hr.wikibooks.org,26,23933,23959,hr,wikibooks
km.m.wikipedia.org,13757,9869,23626,km,wikipedia
vi.m.wiktionary.org,4884,18510,23394,vi,wiktionary
ja.wikibooks.org,2068,20911,22979,ja,wikibooks
nn.wikipedia.org,5159,17523,22682,nn,wikipedia
la.wikipedia.org,2349,20134,22483,la,wikipedia
hi.wikipedia.org,14706,7714,22420,hi,wikipedia
eo.wikipedia.org,2147,20216,22363,eo,wikipedia
arz.wikipedia.org,7579,14548,22127,arz,wikipedia
meta.m.wikimedia.org,8010,14012,22022,meta,wikimedia
ru.m.wikisource.org,10820,11141,21961,ru,wikisource
sw.m.wikipedia.org,12787,9130,21917,sw,wikipedia
en.wikisource.org,5790,16002,21792,en,wikisource
ja.wiktionary.org,6637,15132,21769,ja,wiktionary
ta.wikipedia.org,10969,10677,21646,ta,wikipedia
zh.m.wiktionary.org,5395,16122,21517,zh,wiktionary
is.wikipedia.org,5345,16039,21384,is,wikipedia
sv.wikibooks.org,61,20712,20773,sv,wikibooks
bn.wikipedia.org,13468,7267,20735,bn,wikipedia
la.wikibooks.org,10,20702,20712,la,wikibooks
vi.wiktionary.org,5327,15171,20498,vi,wiktionary
nl.wiktionary.org,3868,16266,20134,nl,wiktionary
it.m.wiktionary.org,5302,14430,19732,it,wiktionary
gu.m.wikipedia.org,13184,6232,19416,gu,wikipedia
fi.wiktionary.org,5252,13773,19025,fi,wiktionary
br.wikipedia.org,646,18293,18939,br,wikipedia
be.wikipedia.org,4642,13943,18585,be,wikipedia
oc.wikipedia.org,592,17627,18219,oc,wikipedia
als.wikipedia.org,1785,16413,18198,als,wikipedia
mn.m.wikipedia.org,11527,6482,18009,mn,wikipedia
sco.wikipedia.org,1969,16037,18006,sco,wikipedia
da.wikibooks.org,22,17795,17817,da,wikibooks
ast.m.wikipedia.org,12838,4539,17377,ast,wikipedia
incubator.wikimedia.org,315,17052,17367,incubator,wikimedia
sv.wiktionary.org,3629,13605,17234,sv,wiktionary
it.wiktionary.org,3335,13701,17036,it,wiktionary
cy.wikipedia.org,1042,15988,17030,cy,wikipedia
si.m.wikipedia.org,10813,6159,16972,si,wikipedia
en.m.wikisource.org,9908,6533,16441,en,wikisource
fi.m.wiktionary.org,6676,9739,16415,fi,wiktionary
sw.wikipedia.org,1519,14669,16188,sw,wikipedia
fy.wikipedia.org,537,15610,16147,fy,wikipedia
ru.m.wikiquote.org,6040,10037,16077,ru,wikiquote
et.wikibooks.org,10,15994,16004,et,wikibooks
lb.wikipedia.org,907,15047,15954,lb,wikipedia
pt.wiktionary.org,3889,12049,15938,pt,wiktionary
war.wikipedia.org,758,15118,15876,war,wikipedia
ko.wiktionary.org,2596,13054,15650,ko,wiktionary
lmo.wikipedia.org,822,14655,15477,lmo,wikipedia
en.wikivoyage.org,2624,12840,15464,en,wikivoyage
ja.m.wiktionary.org,4918,10544,15462,ja,wiktionary
zh-min-nan.wikipedia.org,719,14650,15369,zh-min-nan,wikipedia
ceb.wikipedia.org,1382,13520,14902,ceb,wikipedia
ilo.wikipedia.org,399,14378,14777,ilo,wikipedia
nds.wikipedia.org,1110,13640,14750,nds,wikipedia
hif.wikipedia.org,328,14378,14706,hif,wikipedia
bcl.wikipedia.org,1398,13255,14653,bcl,wikipedia
bar.wikipedia.org,1589,13031,14620,bar,wikipedia
li.wikipedia.org,660,13906,14566,li,wikipedia
zh.wiktionary.org,1559,12798,14357,zh,wiktionary
io.wikipedia.org,452,13764,14216,io,wikipedia
cs.wiktionary.org,3912,10294,14206,cs,wiktionary
be-tarask.wikipedia.org,1518,12667,14185,be-tarask,wikipedia
af.m.wikipedia.org,9589,4504,14093,af,wikipedia
ia.wikipedia.org,605,13466,14071,ia,wikipedia
diq.wikipedia.org,441,13584,14025,diq,wikipedia
nl.m.wiktionary.org,4545,9452,13997,nl,wiktionary
jv.wikipedia.org,847,13028,13875,jv,wikipedia
en.wikiversity.org,2088,11780,13868,en,wikiversity
vec.wikipedia.org,544,13237,13781,vec,wikipedia
ky.wikipedia.org,1763,11969,13732,ky,wikipedia
ga.wikipedia.org,662,13069,13731,ga,wikipedia
su.wikipedia.org,423,13271,13694,su,wikipedia
scn.wikipedia.org,644,13023,13667,scn,wikipedia
he.m.wikisource.org,7555,6010,13565,he,wikisource
my.m.wikipedia.org,7522,5967,13489,my,wikipedia
yo.wikipedia.org,257,13215,13472,yo,wikipedia
pt.m.wiktionary.org,4622,8797,13419,pt,wiktionary
cs.wikibooks.org,43,13374,13417,cs,wikibooks
frr.wikipedia.org,347,12974,13321,frr,wikipedia
tk.wikipedia.org,487,12804,13291,tk,wikipedia
bjn.wikipedia.org,506,12644,13150,bjn,wikipedia
fo.wikipedia.org,445,12697,13142,fo,wikipedia
simple.wikibooks.org,5,13024,13029,simple,wikibooks
en.m.wikiquote.org,4841,8092,12933,en,wikiquote
nso.wikipedia.org,136,12788,12924,nso,wikipedia
ta.m.wiktionary.org,4438,8485,12923,ta,wiktionary
hsb.wikipedia.org,337,12582,12919,hsb,wikipedia
te.wikipedia.org,4035,8655,12690,te,wikipedia
fiu-vro.wikipedia.org,315,12364,12679,fiu-vro,wikipedia
bg.m.wiktionary.org,4536,8125,12661,bg,wiktionary
tr.wikibooks.org,148,12443,12591,tr,wikibooks
ru.wikibooks.org,1869,10688,12557,ru,wikibooks
ku.wikipedia.org,578,11956,12534,ku,wikipedia
zh.m.wikisource.org,5659,6760,12419,zh,wikisource
cv.wikipedia.org,600,11715,12315,cv,wikipedia
gd.wikipedia.org,240,11985,12225,gd,wikipedia
ban.wikipedia.org,313,11823,12136,ban,wikipedia
fr.m.wikisource.org,5567,6553,12120,fr,wikisource
fr.wikisource.org,4212,7833,12045,fr,wikisource
hu.wikibooks.org,238,11790,12028,hu,wikibooks
nds-nl.wikipedia.org,992,11013,12005,nds-nl,wikipedia
smn.wikipedia.org,179,11790,11969,smn,wikipedia
avk.wikipedia.org,101,11860,11961,avk,wikipedia
xmf.wikipedia.org,511,11348,11859,xmf,wikipedia
mg.wikipedia.org,412,11436,11848,mg,wikipedia
vls.wikipedia.org,537,11294,11831,vls,wikipedia
tt.wikipedia.org,1239,10484,11723,tt,wikipedia
lt.wikibooks.org,28,11692,11720,lt,wikibooks
cs.m.wiktionary.org,4441,7220,11661,cs,wiktionary
eml.wikipedia.org,400,11253,11653,eml,wikipedia
gv.wikipedia.org,162,11462,11624,gv,wikipedia
se.wikipedia.org,321,11290,11611,se,wikipedia
de.m.wikibooks.org,5481,6097,11578,de,wikibooks
map-bms.wikipedia.org,202,11285,11487,map-bms,wikipedia
kab.wikipedia.org,231,11208,11439,kab,wikipedia
crh.wikipedia.org,285,11085,11370,crh,wikipedia
qu.wikipedia.org,281,11073,11354,qu,wikipedia
tpi.wikipedia.org,91,11262,11353,tpi,wikipedia
ur.wikipedia.org,3109,8175,11284,ur,wikipedia
sah.wikipedia.org,489,10744,11233,sah,wikipedia
ru.wikisource.org,2988,8199,11187,ru,wikisource
