domain,uniq_human_visitors,uniq_bot_visitors,total_visitor_count,language_code,site_type
ki.wikipedia.org,38,3830,3868,ki,wikipedia
co.wikipedia.org,209,3616,3825,co,wikipedia
gl.wiktionary.org,44,3748,3792,gl,wiktionary
ro.wikibooks.org,40,3741,3781,ro,wikibooks
mg.wikibooks.org,2,3761,3763,mg,wikibooks
eo.wiktionary.org,58,3689,3747,eo,wiktionary
pl.wikisource.org,904,2810,3714,pl,wikisource
de.m.wikisource.org,1385,2302,3687,de,wikisource
pcd.wikipedia.org,322,3313,3635,pcd,wikipedia
pdc.wikipedia.org,130,3484,3614,pdc,wikipedia
kn.wikipedia.org,1772,1817,3589,kn,wikipedia
rm.wikipedia.org,167,3402,3569,rm,wikipedia
fr.m.wikiversity.org,1053,2454,3507,fr,wikiversity
uk.wiktionary.org,997,2493,3490,uk,wiktionary
es.wikiquote.org,210,3231,3441,es,wikiquote
sco.m.wikipedia.org,2315,1121,3436,sco,wikipedia
lg.wikipedia.org,55,3309,3364,lg,wikipedia
eo.m.wikipedia.org,1348,2005,3353,eo,wikipedia
als.m.wikipedia.org,2035,1268,3303,als,wikipedia
sr.wiktionary.org,613,2688,3301,sr,wiktionary
su.m.wikipedia.org,1774,1518,3292,su,wikipedia
be-tarask.m.wikipedia.org,1602,1687,3289,be-tarask,wikipedia
ja.m.wikisource.org,1688,1598,3286,ja,wikisource
sl.wikibooks.org,12,3256,3268,sl,wikibooks
sr.m.wikisource.org,1056,2187,3243,sr,wikisource
es.wikiversity.org,340,2888,3228,es,wikiversity
mwl.wikipedia.org,121,3098,3219,mwl,wikipedia
la.m.wikipedia.org,1421,1787,3208,la,wikipedia
ab.wikipedia.org,220,2984,3204,ab,wikipedia
da.wiktionary.org,163,3011,3174,da,wiktionary
tr.m.wikisource.org,636,2519,3155,tr,wikisource
oc.wikibooks.org,6,3127,3133,oc,wikibooks
he.m.wikiquote.org,1290,1834,3124,he,wikiquote
mzn.m.wikipedia.org,2171,952,3123,mzn,wikipedia
am.wikipedia.org,731,2376,3107,am,wikipedia
trv.wikipedia.org,24,3049,3073,trv,wikipedia
bs.wiktionary.org,18,3040,3058,bs,wiktionary
haw.wikipedia.org,96,2952,3048,haw,wikipedia
tk.m.wikipedia.org,1567,1466,3033,tk,wikipedia
fr.m.wikibooks.org,898,2128,3026,fr,wikibooks
ig.m.wikipedia.org,2856,170,3026,ig,wikipedia
ami.wikipedia.org,36,2980,3016,ami,wikipedia
ml.wiktionary.org,67,2943,3010,ml,wiktionary
ne.wikipedia.org,1351,1607,2958,ne,wikipedia
rmy.wikipedia.org,45,2896,2941,rmy,wikipedia
fr.wikivoyage.org,155,2782,2937,fr,wikivoyage
sk.wiktionary.org,79,2857,2936,sk,wiktionary
zh.m.wikiversity.org,1653,1280,2933,zh,wikiversity
tr.wikiquote.org,339,2580,2919,tr,wikiquote
my.wiktionary.org,83,2836,2919,my,wiktionary
bh.wikipedia.org,388,2530,2918,bh,wikipedia
uk.m.wikivoyage.org,997,1918,2915,uk,wikivoyage
th.m.wikibooks.org,576,2337,2913,th,wikibooks
pnb.m.wikipedia.org,986,1914,2900,pnb,wikipedia
pt.wikiquote.org,146,2734,2880,pt,wikiquote
mdf.wikipedia.org,98,2737,2835,mdf,wikipedia
fy.wikibooks.org,3,2822,2825,fy,wikibooks
he.wiktionary.org,1002,1807,2809,he,wiktionary
kn.m.wiktionary.org,1252,1545,2797,kn,wiktionary
tum.wikipedia.org,49,2743,2792,tum,wikipedia
azb.m.wikipedia.org,1210,1580,2790,azb,wikipedia
cy.wiktionary.org,22,2715,2737,cy,wiktionary
an.m.wikipedia.org,2019,713,2732,an,wikipedia
bm.wikipedia.org,38,2667,2705,bm,wikipedia
ltg.wikipedia.org,79,2626,2705,ltg,wikipedia
cy.wikibooks.org,1,2664,2665,cy,wikibooks
tt.m.wikipedia.org,1096,1561,2657,tt,wikipedia
tw.wikipedia.org,71,2566,2637,tw,wikipedia
id.wikisource.org,273,2361,2634,id,wikisource
ja.wikisource.org,666,1963,2629,ja,wikisource
it.m.wikibooks.org,654,1964,2618,it,wikibooks
sq.wiktionary.org,125,2481,2606,sq,wiktionary
it.m.wikivoyage.org,714,1890,2604,it,wikivoyage
wikitech.wikimedia.org,751,1851,2602,wikitech,wikitech
ar.wiktionary.org,262,2335,2597,ar,wiktionary
sv.m.wikisource.org,958,1634,2592,sv,wikisource
ty.wikipedia.org,46,2530,2576,ty,wikipedia
af.wikibooks.org,6,2509,2515,af,wikibooks
pl.wikivoyage.org,318,2187,2505,pl,wikivoyage
eo.wikiquote.org,87,2407,2494,eo,wikiquote
os.wikipedia.org,369,2090,2459,os,wikipedia
gor.m.wikipedia.org,1706,751,2457,gor,wikipedia
om.wiktionary.org,13,2440,2453,om,wiktionary
it.m.wikiversity.org,504,1949,2453,it,wikiversity
az.wiktionary.org,69,2371,2440,az,wiktionary
fr.wikiquote.org,269,2164,2433,fr,wikiquote
ba.wikipedia.org,698,1719,2417,ba,wikipedia
pl.m.wikivoyage.org,536,1873,2409,pl,wikivoyage
fj.wikipedia.org,51,2358,2409,fj,wikipedia
mad.wikipedia.org,62,2345,2407,mad,wikipedia
sh.m.wiktionary.org,801,1604,2405,sh,wiktionary
oc.wiktionary.org,40,2355,2395,oc,wiktionary
hr.wiktionary.org,240,2145,2385,hr,wiktionary
hi.m.wikibooks.org,720,1661,2381,hi,wikibooks
li.wiktionary.org,24,2330,2354,li,wiktionary
cy.m.wikipedia.org,845,1502,2347,cy,wikipedia
ml.m.wiktionary.org,543,1761,2304,ml,wiktionary
pt.m.wikisource.org,1022,1268,2290,pt,wikisource
azb.wikipedia.org,601,1687,2288,azb,wikipedia
tay.wikipedia.org,29,2257,2286,tay,wikipedia
ru.m.wikivoyage.org,575,1709,2284,ru,wikivoyage
et.wikiquote.org,84,2192,2276,et,wikiquote
zh-min-nan.m.wikipedia.org,596,1678,2274,zh-min-nan,wikipedia
mg.wiktionary.org,35,2209,2244,mg,wiktionary
az.m.wikisource.org,762,1434,2196,az,wikisource
zh.m.wikiquote.org,625,1559,2184,zh,wikiquote
fa.wiktionary.org,182,1958,2140,fa,wiktionary
oc.m.wikipedia.org,250,1875,2125,oc,wikipedia
bar.m.wikipedia.org,1526,597,2123,bar,wikipedia
kn.wiktionary.org,52,2056,2108,kn,wiktionary
sh.wiktionary.org,445,1641,2086,sh,wiktionary
is.wiktionary.org,139,1947,2086,is,wiktionary
war.m.wikipedia.org,679,1406,2085,war,wikipedia
xh.wikipedia.org,73,2006,2079,xh,wikipedia
it.wikiversity.org,238,1796,2034,it,wikiversity
ar.m.wiktionary.org,448,1577,2025,ar,wiktionary
cv.m.wikipedia.org,1029,990,2019,cv,wikipedia
af.wiktionary.org,128,1879,2007,af,wiktionary
uz.wiktionary.org,195,1785,1980,uz,wiktionary
sk.wikiquote.org,45,1933,1978,sk,wikiquote
lt.m.wiktionary.org,490,1485,1975,lt,wiktionary
ka.wiktionary.org,177,1792,1969,ka,wiktionary
ku.m.wikipedia.org,837,1130,1967,ku,wikipedia
cs.wikiquote.org,117,1840,1957,cs,wikiquote
shi.wikipedia.org,48,1900,1948,shi,wikipedia
uk.m.wikiquote.org,836,1090,1926,uk,wikiquote
ch.wikipedia.org,46,1867,1913,ch,wikipedia
lb.m.wikipedia.org,652,1257,1909,lb,wikipedia
pl.m.wikibooks.org,562,1343,1905,pl,wikibooks
or.m.wikipedia.org,1216,683,1899,or,wikipedia
su.wikibooks.org,2,1891,1893,su,wikibooks
fi.wikiquote.org,104,1788,1892,fi,wikiquote
wuu.m.wikipedia.org,789,1094,1883,wuu,wikipedia
ny.wikipedia.org,63,1820,1883,ny,wikipedia
dag.wikipedia.org,51,1827,1878,dag,wikipedia
pt.m.wikiversity.org,833,1041,1874,pt,wikiversity
av.wikipedia.org,198,1672,1870,av,wikipedia
id.m.wikiquote.org,153,1711,1864,id,wikiquote
te.m.wikisource.org,858,984,1842,te,wikisource
th.m.wikisource.org,564,1271,1835,th,wikisource
vi.wikibooks.org,178,1656,1834,vi,wikibooks
nds.m.wikipedia.org,741,1088,1829,nds,wikipedia
fy.m.wikipedia.org,503,1321,1824,fy,wikipedia
de.m.wikiquote.org,684,1130,1814,de,wikiquote
de.wikiversity.org,471,1329,1800,de,wikiversity
th.wikibooks.org,124,1674,1798,th,wikibooks
ru.m.wikiversity.org,427,1370,1797,ru,wikiversity
ban.m.wikipedia.org,1193,589,1782,ban,wikipedia
la.wiktionary.org,59,1720,1779,la,wiktionary
tr.m.wikibooks.org,376,1400,1776,tr,wikibooks
te.wiktionary.org,30,1746,1776,te,wiktionary
ur.wiktionary.org,28,1732,1760,ur,wiktionary
no.m.wiktionary.org,480,1278,1758,no,wiktionary
scn.m.wikipedia.org,737,1014,1751,scn,wikipedia
zh.m.wikibooks.org,470,1268,1738,zh,wikibooks
co.wikibooks.org,1,1728,1729,co,wikibooks
bug.wikipedia.org,57,1671,1728,bug,wikipedia
pt.wikiversity.org,145,1539,1684,pt,wikiversity
sq.m.wiktionary.org,452,1226,1678,sq,wiktionary
es.m.wikivoyage.org,629,1043,1672,es,wikivoyage
mzn.wikipedia.org,325,1334,1659,mzn,wikipedia
ko.wikibooks.org,44,1612,1656,ko,wikibooks
tl.wiktionary.org,156,1497,1653,tl,wiktionary
en.m.wikinews.org,1043,609,1652,en,wikinews
br.wiktionary.org,37,1599,1636,br,wiktionary
es.wikivoyage.org,114,1517,1631,es,wikivoyage
ce.m.wikipedia.org,744,870,1614,ce,wikipedia
ru.wikivoyage.org,389,1225,1614,ru,wikivoyage
ast.wiktionary.org,18,1596,1614,ast,wiktionary
lt.wikiquote.org,46,1565,1611,lt,wikiquote
fr.m.wikiquote.org,457,1150,1607,fr,wikiquote
hif.m.wikipedia.org,888,716,1604,hif,wikipedia
pfl.wikipedia.org,160,1438,1598,pfl,wikipedia
sah.m.wikipedia.org,798,800,1598,sah,wikipedia
ml.m.wikisource.org,564,1028,1592,ml,wikisource
de.wikinews.org,60,1528,1588,de,wikinews
ast.wikibooks.org,3,1569,1572,ast,wikibooks
jv.m.wiktionary.org,212,1359,1571,jv,wiktionary
ko.wikisource.org,232,1338,1570,ko,wikisource
co.wiktionary.org,15,1547,1562,co,wiktionary
mg.m.wikipedia.org,499,1063,1562,mg,wikipedia
rue.m.wikipedia.org,1101,438,1539,rue,wikipedia
te.m.wiktionary.org,374,1160,1534,te,wiktionary
tg.wiktionary.org,20,1510,1530,tg,wiktionary
el.m.wikisource.org,667,841,1508,el,wikisource
br.m.wikipedia.org,563,938,1501,br,wikipedia
lo.wiktionary.org,18,1474,1492,lo,wiktionary
gn.m.wikipedia.org,789,699,1488,gn,wikipedia
km.wiktionary.org,224,1261,1485,km,wiktionary
ang.wikibooks.org,2,1482,1484,ang,wikibooks
incubator.m.wikimedia.org,268,1203,1471,incubator,wikimedia
gu.wikipedia.org,654,796,1450,gu,wikipedia
bn.wiktionary.org,64,1371,1435,bn,wiktionary
fr.wikinews.org,102,1331,1433,fr,wikinews
ht.m.wikipedia.org,563,864,1427,ht,wikipedia
nl.m.wikibooks.org,371,1056,1427,nl,wikibooks
hr.m.wiktionary.org,331,1080,1411,hr,wiktionary
vls.m.wikipedia.org,486,919,1405,vls,wikipedia
vi.m.wikisource.org,453,939,1392,vi,wikisource
mn.m.wiktionary.org,459,914,1373,mn,wiktionary
nl.wikivoyage.org,45,1327,1372,nl,wikivoyage
st.wikipedia.org,53,1314,1367,st,wikipedia
hy.wikibooks.org,13,1339,1352,hy,wikibooks
ia.m.wikipedia.org,433,918,1351,ia,wikipedia
ar.m.wikiversity.org,389,958,1347,ar,wikiversity
uk.wikisource.org,353,991,1344,uk,wikisource
as.wikipedia.org,416,926,1342,as,wikipedia
pt.wikisource.org,179,1163,1342,pt,wikisource
ps.m.wikipedia.org,663,673,1336,ps,wikipedia
ro.wikisource.org,342,986,1328,ro,wikisource
ca.wikiquote.org,47,1275,1322,ca,wikiquote
ba.m.wikipedia.org,736,585,1321,ba,wikipedia
os.m.wikipedia.org,197,1113,1310,os,wikipedia
foundation.m.wikimedia.org,66,1236,1302,foundation,wikimedia
ja.m.wikinews.org,498,795,1293,ja,wikinews
af.m.wiktionary.org,488,803,1291,af,wiktionary
bjn.m.wikipedia.org,819,467,1286,bjn,wikipedia
es.m.wikiquote.org,593,687,1280,es,wikiquote
el.wikibooks.org,27,1247,1274,el,wikibooks
nds-nl.m.wikipedia.org,871,403,1274,nds-nl,wikipedia
hr.wikiquote.org,25,1249,1274,hr,wikiquote
he.m.wikibooks.org,356,916,1272,he,wikibooks
tn.wikipedia.org,51,1219,1270,tn,wikipedia
bs.wikibooks.org,5,1263,1268,bs,wikibooks
aa.wikibooks.org,1,1264,1265,aa,wikibooks
lv.wiktionary.org,50,1208,1258,lv,wiktionary
or.wikipedia.org,315,939,1254,or,wikipedia
zh.m.wikivoyage.org,236,1013,1249,zh,wikivoyage
chy.wikipedia.org,37,1210,1247,chy,wikipedia
ar.m.wikibooks.org,378,855,1233,ar,wikibooks
hr.m.wikisource.org,738,489,1227,hr,wikisource
ms.m.wiktionary.org,365,841,1206,ms,wiktionary
ka.m.wiktionary.org,252,936,1188,ka,wiktionary
bn.m.wiktionary.org,188,995,1183,bn,wiktionary
sw.wiktionary.org,26,1150,1176,sw,wiktionary
sl.wiktionary.org,68,1107,1175,sl,wiktionary
zh-classical.wikipedia.org,562,604,1166,zh-classical,wikipedia
na.wikibooks.org,0,1153,1153,na,wikibooks
xmf.m.wikipedia.org,562,585,1147,xmf,wikipedia
sq.m.wikibooks.org,236,906,1142,sq,wikibooks
bs.wikiquote.org,36,1102,1138,bs,wikiquote
sv.wikiquote.org,38,1095,1133,sv,wikiquote
as.m.wikisource.org,503,624,1127,as,wikisource
el.wikisource.org,398,729,1127,el,wikisource
ga.m.wikipedia.org,384,743,1127,ga,wikipedia
hu.m.wikibooks.org,334,791,1125,hu,wikibooks
wa.wiktionary.org,17,1106,1123,wa,wiktionary
fr.m.wikivoyage.org,355,764,1119,fr,wikivoyage
lmo.m.wikipedia.org,622,494,1116,lmo,wikipedia
he.wikiquote.org,280,833,1113,he,wikiquote
sd.wikipedia.org,319,792,1111,sd,wikipedia
ik.wikipedia.org,50,1060,1110,ik,wikipedia
ps.wikipedia.org,363,746,1109,ps,wikipedia
ko.m.wikisource.org,527,579,1106,ko,wikisource
ru.wikiversity.org,200,899,1099,ru,wikiversity
el.m.wikivoyage.org,242,852,1094,el,wikivoyage
sn.m.wikipedia.org,608,480,1088,sn,wikipedia
sg.wiktionary.org,11,1074,1085,sg,wiktionary
rn.wikipedia.org,23,1062,1085,rn,wikipedia
hu.wikiquote.org,68,1011,1079,hu,wikiquote
ky.wiktionary.org,21,1039,1060,ky,wiktionary
ie.wikibooks.org,3,1054,1057,ie,wikibooks
hi.wiktionary.org,116,940,1056,hi,wiktionary
nl.wikiquote.org,35,1019,1054,nl,wikiquote
hy.wikisource.org,446,606,1052,hy,wikisource
kn.m.wikisource.org,340,712,1052,kn,wikisource
cs.m.wikiquote.org,299,751,1050,cs,wikiquote
fa.m.wikiquote.org,337,713,1050,fa,wikiquote
diq.m.wikipedia.org,459,591,1050,diq,wikipedia
ve.wikipedia.org,26,1023,1049,ve,wikipedia
ms.wiktionary.org,99,948,1047,ms,wiktionary
bg.m.wikiquote.org,271,775,1046,bg,wikiquote
lo.wikipedia.org,254,791,1045,lo,wikipedia
map-bms.m.wikipedia.org,657,388,1045,map-bms,wikipedia
fa.m.wikibooks.org,168,876,1044,fa,wikibooks
vec.wiktionary.org,10,1031,1041,vec,wiktionary
pt.wikinews.org,48,987,1035,pt,wikinews
pt.wikivoyage.org,58,977,1035,pt,wikivoyage
sl.wikiquote.org,25,1009,1034,sl,wikiquote
bo.m.wikipedia.org,588,446,1034,bo,wikipedia
uz.wikibooks.org,0,1033,1033,uz,wikibooks
om.m.wikipedia.org,509,524,1033,om,wikipedia
he.m.wikivoyage.org,219,806,1025,he,wikivoyage
kk.wiktionary.org,18,1007,1025,kk,wiktionary
lo.m.wikipedia.org,489,516,1005,lo,wikipedia
